ReviewID,PlayerID,HoursPlayed,Recommended,ReviewScore,ReviewDate
1,49624,20.28,True,6,2023-12-31
2,41515,43.9,True,5,2023-12-31
3,41516,125.12,False,7,2023-12-31
4,41522,74.28,False,7,2023-12-31
5,41523,57.02,True,6,2023-12-31
6,41531,142.15,False,7,2023-12-31
7,41548,101.4,True,7,2023-12-31
8,41550,59.98,False,6,2023-12-31
9,41468,70.12,True,7,2023-12-31
10,41562,60.75,True,6,2023-12-31
11,41579,71.57,False,7,2023-12-31
12,41586,172.37,True,8,2023-12-31
13,41605,22.82,True,7,2023-12-31
14,41607,75.35,False,7,2023-12-31
15,41609,56.93,True,6,2023-12-31
16,41616,64.1,True,6,2023-12-31
17,41623,54.45,True,8,2023-12-31
18,41570,85.88,True,7,2023-12-31
19,41636,59.02,False,6,2023-12-31
20,41463,98.58,False,7,2023-12-31
21,41452,117.17,False,7,2023-12-31
22,41303,103.78,False,7,2023-12-31
23,41309,121.92,True,8,2023-12-31
24,41329,49.6,True,7,2023-12-31
25,41352,160.07,True,6,2023-12-31
26,41358,69.35,False,6,2023-12-31
27,41366,43.22,True,7,2023-12-31
28,41372,25.63,False,6,2023-12-31
29,41459,83.67,True,6,2023-12-31
30,41384,53.9,True,6,2023-12-31
31,41395,97.95,True,7,2023-12-31
32,41405,97.83,True,6,2023-12-31
33,41418,68.82,False,7,2023-12-31
34,41419,55.38,False,6,2023-12-31
35,41421,41.4,False,6,2023-12-31
36,41429,42.5,False,6,2023-12-31
37,41436,99.52,False,5,2023-12-31
38,41394,69.45,True,7,2023-12-31
39,41639,91.58,False,7,2023-12-31
40,41653,81.6,True,7,2023-12-31
41,41654,63.18,False,5,2023-12-31
42,41852,112.47,True,6,2023-12-31
43,41866,65.72,True,6,2023-12-31
44,41880,60.78,True,6,2023-12-31
45,41908,51.82,True,5,2023-12-31
46,41922,74.82,True,7,2023-12-31
47,41935,76.93,True,6,2023-12-31
48,41952,104.53,True,6,2023-12-31
49,41843,31.77,True,4,2023-12-31
50,42008,76.72,True,6,2023-12-31
51,42015,91.35,True,7,2023-12-31
52,42041,22.42,True,7,2023-12-31
53,42056,43.7,False,7,2023-12-31
54,42076,47.6,True,5,2023-12-31
55,42085,57.93,True,5,2023-12-31
56,42094,157.83,False,7,2023-12-31
57,42106,59.32,False,5,2023-12-31
58,42014,34.2,False,5,2023-12-31
59,41834,77.7,True,6,2023-12-31
60,41833,27.97,True,5,2023-12-31
61,41826,188.07,True,7,2023-12-31
62,41663,47.13,True,7,2023-12-31
63,41675,154.93,True,8,2023-12-31
64,41678,64.93,False,7,2023-12-31
65,41683,84.03,True,6,2023-12-31
66,41687,48.97,True,5,2023-12-31
67,41698,98.67,False,8,2023-12-31
68,41711,29.77,False,7,2023-12-31
69,41713,121.38,True,6,2023-12-31
70,41719,84.4,False,4,2023-12-31
71,41732,29.7,True,6,2023-12-31
72,41746,32.02,False,6,2023-12-31
73,41764,67.25,True,7,2023-12-31
74,41770,99.1,False,6,2023-12-31
75,41776,68.93,True,5,2023-12-31
76,41777,101.85,False,6,2023-12-31
77,41785,64.77,True,7,2023-12-31
78,41795,60.32,True,6,2023-12-31
79,41296,49.63,False,5,2023-12-31
80,42122,152.52,True,5,2023-12-31
81,41280,90.85,False,6,2023-12-31
82,41266,48.87,False,6,2023-12-31
83,40747,73.4,True,6,2023-12-31
84,40749,120.03,True,8,2023-12-31
85,40753,36.9,True,4,2023-12-31
86,40755,86.75,False,7,2023-12-31
87,40760,33.08,False,5,2023-12-31
88,40765,43.52,False,6,2023-12-31
89,40784,40.53,False,6,2023-12-31
90,40729,122.28,False,7,2023-12-31
91,40786,55.88,False,5,2023-12-31
92,40788,52.82,False,5,2023-12-31
93,40789,88.82,True,6,2023-12-31
94,40794,82.37,False,7,2023-12-31
95,40817,127.17,False,9,2023-12-31
96,40836,144.97,False,7,2023-12-31
97,40840,159.28,True,8,2023-12-31
98,40841,174.42,True,7,2023-12-31
99,40787,174.13,True,6,2023-12-31
100,40860,133.58,True,8,2023-12-31
101,40721,98.2,True,6,2023-12-31
102,40706,82.38,False,6,2023-12-31
103,40542,64.57,False,4,2023-12-31
104,40546,77.53,True,5,2023-12-31
105,40547,103.53,True,7,2023-12-31
106,40550,138.83,True,6,2023-12-31
107,40560,63.13,False,5,2023-12-31
108,40570,43.03,False,5,2023-12-31
109,40576,32.47,True,6,2023-12-31
110,40708,151.68,True,6,2023-12-31
111,40607,96.77,True,8,2023-12-31
112,40630,149.28,True,7,2023-12-31
113,40676,104.23,True,6,2023-12-31
114,40679,65.37,True,6,2023-12-31
115,40687,48.98,True,5,2023-12-31
116,40698,20.6,False,7,2023-12-31
117,40699,74.42,True,6,2023-12-31
118,40704,74.47,True,6,2023-12-31
119,40629,26.12,True,5,2023-12-31
120,40868,131.65,True,5,2023-12-31
121,40870,56.67,True,7,2023-12-31
122,40885,85.95,True,8,2023-12-31
123,41098,70.83,True,6,2023-12-31
124,41120,139.13,True,7,2023-12-31
125,41127,38.83,False,6,2023-12-31
126,41128,79.92,True,4,2023-12-31
127,41138,121.18,True,7,2023-12-31
128,41154,48.97,True,5,2023-12-31
129,41179,41.7,False,7,2023-12-31
130,41097,81.98,False,5,2023-12-31
131,41184,91.4,True,8,2023-12-31
132,41212,43.37,True,6,2023-12-31
133,41215,108.38,False,6,2023-12-31
134,41218,48.03,True,6,2023-12-31
135,41237,68.23,False,7,2023-12-31
136,41238,174.45,True,7,2023-12-31
137,41243,68.08,True,5,2023-12-31
138,41259,49.33,False,7,2023-12-31
139,41201,110.88,True,6,2023-12-31
140,41089,54.8,False,6,2023-12-31
141,41086,88.02,False,6,2023-12-31
142,41077,103.67,True,5,2023-12-31
143,40901,112.43,True,7,2023-12-31
144,40908,41.47,False,4,2023-12-31
145,40910,47.98,True,5,2023-12-31
146,40917,30.87,False,5,2023-12-31
147,40924,71.82,False,6,2023-12-31
148,40925,175.85,True,8,2023-12-31
149,40945,45.97,False,5,2023-12-31
150,40953,69.17,True,8,2023-12-31
151,40971,179.53,True,6,2023-12-31
152,40977,83.78,True,7,2023-12-31
153,40986,69.95,True,7,2023-12-31
154,41002,80.42,True,8,2023-12-31
155,41028,218.63,True,8,2023-12-31
156,41031,103.42,False,4,2023-12-31
157,41034,94.77,True,7,2023-12-31
158,41060,73.1,False,6,2023-12-31
159,41070,57.68,True,6,2023-12-31
160,41277,57.5,False,8,2023-12-31
161,42126,41.6,False,6,2023-12-31
162,42154,75.82,True,6,2023-12-31
163,42158,21.97,True,6,2023-12-31
164,43121,98.17,True,7,2023-12-31
165,43125,88.78,True,8,2023-12-31
166,43126,60.47,False,5,2023-12-31
167,43132,145.22,True,6,2023-12-31
168,43135,41.65,True,4,2023-12-31
169,43151,56.38,False,7,2023-12-31
170,43160,77.63,True,7,2023-12-31
171,43116,89.83,True,6,2023-12-31
172,43167,167.05,True,7,2023-12-31
173,43187,29.62,False,7,2023-12-31
174,43188,68.32,True,5,2023-12-31
175,43209,34.83,True,5,2023-12-31
176,43221,75.83,True,6,2023-12-31
177,43226,98.45,False,8,2023-12-31
178,43230,45.48,True,6,2023-12-31
179,43232,40.8,True,7,2023-12-31
180,43175,86.78,True,5,2023-12-31
181,43233,60.53,False,7,2023-12-31
182,43114,132.0,True,7,2023-12-31
183,43101,103.13,True,7,2023-12-31
184,42969,80.9,True,8,2023-12-31
185,42975,124.3,True,9,2023-12-31
186,42976,104.1,False,7,2023-12-31
187,42981,37.43,False,5,2023-12-31
188,42982,91.22,True,6,2023-12-31
189,42995,45.67,True,8,2023-12-31
190,42997,80.5,False,6,2023-12-31
191,43107,47.28,False,5,2023-12-31
192,43012,109.93,True,6,2023-12-31
193,43016,144.85,False,7,2023-12-31
194,43050,64.93,False,6,2023-12-31
195,43064,217.92,True,7,2023-12-31
196,43066,112.03,False,7,2023-12-31
197,43079,164.67,True,7,2023-12-31
198,43081,59.58,False,5,2023-12-31
199,43089,30.42,False,4,2023-12-31
200,43013,122.62,True,7,2023-12-31
201,43240,55.48,False,6,2023-12-31
202,43279,101.75,True,6,2023-12-31
203,43289,40.33,False,6,2023-12-31
204,43498,42.73,True,7,2023-12-31
205,43499,62.0,False,7,2023-12-31
206,43505,41.67,True,6,2023-12-31
207,43506,109.52,True,9,2023-12-31
208,43513,31.37,True,7,2023-12-31
209,43556,47.58,True,6,2023-12-31
210,43563,42.2,True,5,2023-12-31
211,43486,39.03,True,5,2023-12-31
212,43591,53.67,True,5,2023-12-31
213,43620,77.85,False,6,2023-12-31
214,43627,50.28,True,6,2023-12-31
215,43655,152.65,True,6,2023-12-31
216,43671,22.98,True,6,2023-12-31
217,43686,63.63,True,5,2023-12-31
218,43689,31.7,False,5,2023-12-31
219,43691,104.87,True,7,2023-12-31
220,43595,64.72,False,6,2023-12-31
221,43471,39.12,True,5,2023-12-31
222,43460,45.17,True,6,2023-12-31
223,43447,31.87,True,6,2023-12-31
224,43293,22.55,True,5,2023-12-31
225,43300,62.33,True,7,2023-12-31
226,43304,89.18,True,7,2023-12-31
227,43310,59.65,False,4,2023-12-31
228,43322,69.25,False,5,2023-12-31
229,43336,29.45,True,6,2023-12-31
230,43361,35.03,True,8,2023-12-31
231,43379,49.13,True,6,2023-12-31
232,43380,68.02,True,8,2023-12-31
233,43391,57.4,True,6,2023-12-31
234,43394,146.93,True,6,2023-12-31
235,43411,63.47,True,4,2023-12-31
236,43413,44.63,True,5,2023-12-31
237,43417,60.77,True,7,2023-12-31
238,43418,31.62,True,5,2023-12-31
239,43419,95.73,True,5,2023-12-31
240,43438,89.27,True,7,2023-12-31
241,42968,36.07,True,5,2023-12-31
242,42958,102.05,True,5,2023-12-31
243,42933,54.85,True,8,2023-12-31
244,42932,42.2,True,7,2023-12-31
245,42328,50.17,True,5,2023-12-31
246,42335,25.08,True,5,2023-12-31
247,42351,79.78,False,5,2023-12-31
248,42365,24.88,True,5,2023-12-31
249,42370,135.8,False,7,2023-12-31
250,42374,58.88,False,8,2023-12-31
251,42392,51.03,True,6,2023-12-31
252,42302,155.22,True,9,2023-12-31
253,42418,33.08,True,8,2023-12-31
254,42442,142.95,True,9,2023-12-31
255,42451,158.52,True,7,2023-12-31
256,42455,88.18,True,8,2023-12-31
257,42460,52.68,False,5,2023-12-31
258,42468,66.17,True,8,2023-12-31
259,42472,49.12,False,5,2023-12-31
260,42486,63.25,False,5,2023-12-31
261,42423,49.18,True,7,2023-12-31
262,42301,39.65,True,6,2023-12-31
263,42299,29.63,False,5,2023-12-31
264,42296,53.78,False,5,2023-12-31
265,42173,36.48,True,5,2023-12-31
266,42177,80.92,False,6,2023-12-31
267,42178,120.0,False,7,2023-12-31
268,42181,51.93,False,6,2023-12-31
269,42192,114.15,True,8,2023-12-31
270,42198,64.42,True,7,2023-12-31
271,42212,127.92,True,8,2023-12-31
272,42218,29.48,True,7,2023-12-31
273,42223,58.15,False,7,2023-12-31
274,42239,140.45,True,8,2023-12-31
275,42250,123.65,True,7,2023-12-31
276,42251,54.25,False,6,2023-12-31
277,42258,87.5,True,7,2023-12-31
278,42264,47.82,False,5,2023-12-31
279,42274,74.0,True,6,2023-12-31
280,42277,52.63,True,6,2023-12-31
281,42281,33.67,True,7,2023-12-31
282,42498,125.87,True,7,2023-12-31
283,40534,72.1,False,6,2023-12-31
284,42503,64.87,True,5,2023-12-31
285,42527,46.37,True,5,2023-12-31
286,42761,67.77,False,7,2023-12-31
287,42780,25.42,True,6,2023-12-31
288,42786,69.67,False,8,2023-12-31
289,42794,124.38,False,9,2023-12-31
290,42797,132.32,False,7,2023-12-31
291,42803,33.77,True,6,2023-12-31
292,42820,39.73,True,6,2023-12-31
293,42717,111.45,True,8,2023-12-31
294,42822,44.87,True,6,2023-12-31
295,42863,45.37,True,7,2023-12-31
296,42867,36.98,True,7,2023-12-31
297,42872,45.02,False,6,2023-12-31
298,42883,69.52,False,7,2023-12-31
299,42895,93.75,True,5,2023-12-31
300,42910,48.23,True,6,2023-12-31
301,42913,99.35,True,7,2023-12-31
302,42838,175.85,True,9,2023-12-31
303,42705,37.83,False,6,2023-12-31
304,42704,145.6,True,7,2023-12-31
305,42658,90.0,True,6,2023-12-31
306,42551,69.65,True,7,2023-12-31
307,42555,33.78,True,6,2023-12-31
308,42567,94.28,True,6,2023-12-31
309,42582,55.75,False,7,2023-12-31
310,42588,68.8,False,6,2023-12-31
311,42597,43.2,True,7,2023-12-31
312,42603,66.62,True,6,2023-12-31
313,42605,23.75,False,4,2023-12-31
314,42612,41.67,False,6,2023-12-31
315,42614,21.73,True,4,2023-12-31
316,42615,71.48,True,6,2023-12-31
317,42617,93.65,True,7,2023-12-31
318,42622,170.72,True,6,2023-12-31
319,42628,30.22,True,4,2023-12-31
320,42633,63.32,False,7,2023-12-31
321,42635,57.03,True,7,2023-12-31
322,42642,62.2,True,6,2023-12-31
323,42511,36.72,True,5,2023-12-31
324,43693,103.12,True,6,2023-12-31
325,40517,56.15,True,6,2023-12-31
326,40485,48.67,False,7,2023-12-31
327,38653,102.47,False,7,2023-12-31
328,38666,73.03,True,7,2023-12-31
329,38667,37.05,False,6,2023-12-31
330,38672,53.23,False,5,2023-12-31
331,38685,125.37,False,7,2023-12-31
332,38686,62.27,True,6,2023-12-31
333,38697,125.93,True,8,2023-12-31
334,38648,72.0,True,5,2023-12-31
335,38713,72.85,False,6,2023-12-31
336,38721,39.48,True,6,2023-12-31
337,38723,41.52,False,6,2023-12-31
338,38724,81.73,False,6,2023-12-31
339,38726,119.37,True,7,2023-12-31
340,38730,71.42,True,8,2023-12-31
341,38731,119.62,True,7,2023-12-31
342,38736,52.52,False,5,2023-12-31
343,38718,26.47,False,6,2023-12-31
344,38738,213.87,True,8,2023-12-31
345,38645,76.97,True,6,2023-12-31
346,38628,28.73,True,5,2023-12-31
347,38499,69.62,True,5,2023-12-31
348,38508,38.57,False,5,2023-12-31
349,38518,95.43,True,8,2023-12-31
350,38532,137.97,True,8,2023-12-31
351,38550,71.27,True,6,2023-12-31
352,38555,86.4,True,7,2023-12-31
353,38575,79.25,True,6,2023-12-31
354,38643,136.62,True,9,2023-12-31
355,38576,61.2,False,5,2023-12-31
356,38596,74.5,True,7,2023-12-31
357,38603,53.08,True,6,2023-12-31
358,38606,92.77,True,5,2023-12-31
359,38617,56.25,True,7,2023-12-31
360,38619,29.03,True,7,2023-12-31
361,38621,146.32,True,7,2023-12-31
362,38626,187.13,True,7,2023-12-31
363,38584,46.73,False,8,2023-12-31
364,38739,99.47,True,8,2023-12-31
365,38774,130.75,True,8,2023-12-31
366,38778,105.05,True,7,2023-12-31
367,38970,59.23,False,5,2023-12-31
368,38985,76.58,False,8,2023-12-31
369,38988,114.87,True,6,2023-12-31
370,38999,65.85,True,6,2023-12-31
371,39000,43.62,True,7,2023-12-31
372,39002,46.72,True,5,2023-12-31
373,39018,38.95,True,8,2023-12-31
374,38951,30.6,True,5,2023-12-31
375,39024,222.5,True,6,2023-12-31
376,39047,124.52,True,7,2023-12-31
377,39048,81.15,True,5,2023-12-31
378,39072,94.38,True,7,2023-12-31
379,39076,176.73,False,6,2023-12-31
380,39082,82.48,False,7,2023-12-31
381,39090,111.02,True,6,2023-12-31
382,39094,79.57,True,5,2023-12-31
383,39029,101.1,True,7,2023-12-31
384,38949,104.12,True,7,2023-12-31
385,38948,189.52,True,7,2023-12-31
386,38922,71.85,True,6,2023-12-31
387,38792,88.27,True,7,2023-12-31
388,38793,50.52,True,6,2023-12-31
389,38800,73.67,True,6,2023-12-31
390,38801,102.28,True,8,2023-12-31
391,38807,95.33,True,8,2023-12-31
392,38810,102.28,True,7,2023-12-31
393,38814,128.77,True,7,2023-12-31
394,38822,89.1,True,6,2023-12-31
395,38824,85.67,True,7,2023-12-31
396,38831,63.2,False,7,2023-12-31
397,38837,45.78,False,6,2023-12-31
398,38850,108.82,True,5,2023-12-31
399,38867,120.55,True,6,2023-12-31
400,38874,66.4,False,8,2023-12-31
401,38878,125.47,True,7,2023-12-31
402,38886,94.2,True,5,2023-12-31
403,38910,31.37,False,4,2023-12-31
404,38486,135.95,False,7,2023-12-31
405,39096,64.85,True,6,2023-12-31
406,38483,87.13,False,7,2023-12-31
407,38470,116.73,True,7,2023-12-31
408,38018,141.2,True,9,2023-12-31
409,38026,70.52,True,5,2023-12-31
410,38035,53.2,False,6,2023-12-31
411,38049,52.0,True,5,2023-12-31
412,38071,96.58,True,8,2023-12-31
413,38081,111.5,True,7,2023-12-31
414,38090,71.35,False,8,2023-12-31
415,37986,88.9,True,5,2023-12-31
416,38095,104.77,True,7,2023-12-31
417,38127,114.28,False,7,2023-12-31
418,38132,121.38,False,6,2023-12-31
419,38139,91.38,True,7,2023-12-31
420,38145,107.6,True,8,2023-12-31
421,38146,75.93,False,6,2023-12-31
422,38148,35.32,False,5,2023-12-31
423,38163,55.62,False,5,2023-12-31
424,38121,108.6,False,7,2023-12-31
425,38167,39.67,False,5,2023-12-31
426,37982,70.87,False,7,2023-12-31
427,37976,76.82,True,6,2023-12-31
